time,Channel_H_dn,Channel_H_up,Channel_Q_dn,Channel_Q_up
2013-01-01 01:00:00,0.000000,0.808474,100.000000,100.000000
2013-01-01 01:15:00,0.000000,0.808474,100.000002,100.000000
2013-01-01 01:30:00,-0.000000,0.808474,100.000002,100.000000
2013-01-01 01:45:00,-0.000000,0.808474,100.000001,100.000000
2013-01-01 02:00:00,-0.000000,0.808474,100.000001,100.000000
2013-01-01 02:15:00,-0.000000,0.808474,100.000001,100.000000
2013-01-01 02:30:00,-0.000000,0.808474,100.000001,100.000000
2013-01-01 02:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 03:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 03:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 03:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 03:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 04:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 04:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 04:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 04:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 05:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 05:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 05:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 05:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 06:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 06:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 06:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 06:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 07:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 07:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 07:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 07:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 08:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 08:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 08:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 08:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 09:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 09:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 09:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 09:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 10:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 10:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 10:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 10:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 11:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 11:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 11:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 11:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 12:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 12:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 12:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 12:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 13:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 13:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 13:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 13:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 14:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 14:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 14:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 14:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 15:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 15:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 15:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 15:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 16:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 16:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 16:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 16:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 17:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 17:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 17:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 17:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 18:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 18:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 18:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 18:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 19:00:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 19:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 19:30:00,0.000000,0.808474,100.000000,100.000000
2013-01-01 19:45:00,0.000000,0.808474,100.000000,100.000000
2013-01-01 20:00:00,0.000000,0.808474,100.000000,100.000000
2013-01-01 20:15:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 20:30:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 20:45:00,-0.000000,0.808474,100.000000,100.000000
2013-01-01 21:00:00,-0.000000,2.961546,136.822056,500.000000
2013-01-01 21:15:00,-0.000000,3.652624,199.744208,500.000000
2013-01-01 21:30:00,-0.000000,4.098628,264.411390,500.000000
2013-01-01 21:45:00,-0.000000,4.420126,319.770278,500.000000
2013-01-01 22:00:00,-0.000000,4.658761,363.676545,500.000000
2013-01-01 22:15:00,-0.000000,4.837754,397.384134,500.000000
2013-01-01 22:30:00,-0.000000,4.972332,422.925366,500.000000
2013-01-01 22:45:00,0.000000,5.073476,442.177443,500.000000
2013-01-01 23:00:00,0.000000,5.149416,456.653964,500.000000
2013-01-01 23:15:00,0.000000,5.206378,467.524273,500.000000
2013-01-01 23:30:00,0.000000,5.249073,475.678786,500.000000
2013-01-01 23:45:00,0.000000,5.281056,481.791576,500.000000
2013-01-02 00:00:00,0.000000,5.305005,486.371318,500.000000
2013-01-02 00:15:00,0.000000,5.322933,489.801049,500.000000
2013-01-02 00:30:00,0.000000,5.336350,492.368726,500.000000
2013-01-02 00:45:00,0.000000,5.346390,494.290561,500.000000
2013-01-02 01:00:00,0.000000,5.353902,495.728742,500.000000
2013-01-02 01:15:00,0.000000,5.359522,496.804839,500.000000
2013-01-02 01:30:00,0.000000,5.363726,497.609930,500.000000
2013-01-02 01:45:00,0.000000,5.366871,498.212219,500.000000
2013-01-02 02:00:00,0.000000,5.369223,498.662767,500.000000
2013-01-02 02:15:00,0.000000,5.370983,498.999788,500.000000
2013-01-02 02:30:00,0.000000,5.372299,499.251881,500.000000
2013-01-02 02:45:00,0.000000,5.373283,499.440442,500.000000
2013-01-02 03:00:00,0.000000,5.374019,499.581480,500.000000
2013-01-02 03:15:00,0.000000,5.374570,499.686971,500.000000
2013-01-02 03:30:00,0.000000,5.374982,499.765873,500.000000
2013-01-02 03:45:00,0.000000,5.375290,499.824888,500.000000
2013-01-02 04:00:00,0.000000,5.375520,499.869027,500.000000
