time,H_middle,H_upstream,Q_dam_middle,Q_dam_upstream,Q_in
2013-01-02 13:00:00,14.136206,19.361789,100.112901,83.133199,100.000000
2013-01-02 13:30:00,14.168220,19.409675,91.543577,82.084441,100.000000
2013-01-02 14:00:00,14.204334,19.455801,84.444298,81.514066,100.000000
2013-01-02 14:30:00,14.243465,19.499908,78.652955,81.333820,100.000000
2013-01-02 15:00:00,14.284738,19.541817,74.032872,81.468276,100.000000
2013-01-02 15:30:00,14.327433,19.581411,70.465543,81.852498,100.000000
2013-01-02 16:00:00,14.370940,19.618625,67.844051,82.430506,100.000000
2013-01-02 16:30:00,14.414734,19.653434,66.067932,83.154215,100.000000
2013-01-02 17:00:00,14.458343,19.685850,65.039860,83.982630,100.000000
2013-01-02 17:30:00,14.501343,19.715910,64.664158,84.881160,100.000000
2013-01-02 18:00:00,14.543355,19.743678,64.846857,85.820990,100.000000
2013-01-02 18:30:00,14.584041,19.769235,65.496768,86.778476,100.000000
2013-01-02 19:00:00,14.623112,19.792674,66.527053,87.734551,100.000000
2013-01-02 19:30:00,14.660331,19.814103,67.856808,88.674159,100.000000
2013-01-02 20:00:00,14.695513,19.833634,69.412356,89.585707,100.000000
2013-01-02 20:30:00,14.728524,19.851384,71.128103,90.460559,100.000000
2013-01-02 21:00:00,14.759283,19.867471,72.946917,91.292570,100.000000
2013-01-02 21:30:00,14.787751,19.882015,74.820096,92.077662,100.000000
2013-01-02 22:00:00,14.813932,19.895132,76.707016,92.813449,100.000000
2013-01-02 22:30:00,14.837862,19.906935,78.574556,93.498915,100.000000
2013-01-02 23:00:00,14.859606,19.917534,80.396384,94.134122,100.000000
2013-01-02 23:30:00,14.879253,19.927030,82.152189,94.719971,100.000000
2013-01-03 00:00:00,14.896905,19.935523,83.826894,95.258001,100.000000
2013-01-03 00:30:00,14.912679,19.943105,85.409896,95.750211,100.000000
2013-01-03 01:00:00,14.926698,19.949861,86.894358,96.198923,100.000000
2013-01-03 01:30:00,14.939091,19.955871,88.276561,96.606670,100.000000
2013-01-03 02:00:00,14.949986,19.961209,89.555320,96.976097,100.000000
2013-01-03 02:30:00,14.959511,19.965944,90.731472,97.309891,100.000000
2013-01-03 03:00:00,14.967790,19.970135,91.807435,97.610726,100.000000
2013-01-03 03:30:00,14.974942,19.973842,92.786822,97.881217,100.000000
2013-01-03 04:00:00,14.981081,19.977115,93.674122,98.123887,100.000000
2013-01-03 04:30:00,14.986314,19.980001,94.474429,98.341148,100.000000
2013-01-03 05:00:00,14.990741,19.982543,95.193219,98.535279,100.000000
2013-01-03 05:30:00,14.994455,19.984779,95.836171,98.708423,100.000000
2013-01-03 06:00:00,14.997541,19.986743,96.409019,98.862579,100.000000
2013-01-03 06:30:00,15.000076,19.988466,96.917443,98.999600,100.000000
2013-01-03 07:00:00,15.002132,19.989976,97.366975,99.121197,100.000000
2013-01-03 07:30:00,15.003772,19.991298,97.762938,99.228943,100.000000
2013-01-03 08:00:00,15.005055,19.992454,98.110401,99.324274,100.000000
2013-01-03 08:30:00,15.006031,19.993463,98.414139,99.408504,100.000000
2013-01-03 09:00:00,15.006746,19.994344,98.678623,99.482824,100.000000
2013-01-03 09:30:00,15.007241,19.995111,98.908005,99.548313,100.000000
2013-01-03 10:00:00,15.007552,19.995779,99.106116,99.605946,100.000000
2013-01-03 10:30:00,15.007710,19.996360,99.276474,99.656604,100.000000
2013-01-03 11:00:00,15.007742,19.996865,99.422292,99.701077,100.000000
2013-01-03 11:30:00,15.007673,19.997302,99.546489,99.740073,100.000000
2013-01-03 12:00:00,15.007522,19.997682,99.651704,99.774226,100.000000
2013-01-03 12:30:00,15.007307,19.998010,99.740319,99.804105,100.000000
2013-01-03 13:00:00,15.007044,19.998294,99.814466,99.830214,100.000000
2013-01-03 13:30:00,15.006745,19.998540,99.876054,99.853005,100.000000
2013-01-03 14:00:00,15.006421,19.998751,99.926784,99.872875,100.000000
2013-01-03 14:30:00,15.006080,19.998934,99.968162,99.890182,100.000000
2013-01-03 15:00:00,15.005731,19.999091,100.001522,99.905239,100.000000
2013-01-03 15:30:00,15.005380,19.999226,100.028040,99.918324,100.000000
2013-01-03 16:00:00,15.005030,19.999342,100.048748,99.929684,100.000000
2013-01-03 16:30:00,15.004688,19.999442,100.064547,99.939535,100.000000
2013-01-03 17:00:00,15.004354,19.999527,100.076226,99.948069,100.000000
2013-01-03 17:30:00,15.004032,19.999600,100.084469,99.955452,100.000000
