time,H_middle,H_upstream,Q_dam_middle,Q_dam_upstream,Q_in
2013-01-02 13:00:00,15.000000,20.000000,108.531089,100.934529,100.000000
2013-01-02 13:30:00,15.000000,20.000000,106.124252,100.628233,100.000000
2013-01-02 14:00:00,15.000000,20.000000,104.363369,100.421775,100.000000
2013-01-02 14:30:00,15.000000,20.000000,103.089070,100.282903,100.000000
2013-01-02 15:00:00,15.000000,20.000000,102.175394,100.189633,100.000000
2013-01-02 15:30:00,15.000000,20.000000,101.525311,100.127055,100.000000
2013-01-02 16:00:00,15.000000,20.000000,101.065684,100.085102,100.000000
2013-01-02 16:30:00,15.000000,20.000000,100.742380,100.056989,100.000000
2013-01-02 17:00:00,15.000000,20.000000,100.515910,100.038158,100.000000
2013-01-02 17:30:00,15.000000,20.000000,100.357804,100.025546,100.000000
2013-01-02 18:00:00,15.000000,20.000000,100.247729,100.017102,100.000000
2013-01-02 18:30:00,15.000000,20.000000,100.171268,100.011448,100.000000
2013-01-02 19:00:00,15.000000,20.000000,100.118257,100.007664,100.000000
2013-01-02 19:30:00,15.000000,20.000000,100.081563,100.005130,100.000000
2013-01-02 20:00:00,15.000000,20.000000,100.056198,100.003434,100.000000
2013-01-02 20:30:00,15.000000,20.000000,100.038686,100.002299,100.000000
2013-01-02 21:00:00,15.000000,20.000000,100.026609,100.001539,100.000000
2013-01-02 21:30:00,15.000000,20.000000,100.018289,100.001030,100.000000
2013-01-02 22:00:00,15.000000,20.000000,100.012561,100.000689,100.000000
2013-01-02 22:30:00,15.000000,20.000000,100.008621,100.000461,100.000000
2013-01-02 23:00:00,15.000000,20.000000,100.005913,100.000309,100.000000
2013-01-02 23:30:00,15.000000,20.000000,100.004054,100.000207,100.000000
2013-01-03 00:00:00,15.000000,20.000000,100.002777,100.000138,100.000000
2013-01-03 00:30:00,15.000000,20.000000,100.001902,100.000093,100.000000
2013-01-03 01:00:00,15.000000,20.000000,100.001302,100.000062,100.000000
2013-01-03 01:30:00,15.000000,20.000000,100.000890,100.000042,100.000000
2013-01-03 02:00:00,15.000000,20.000000,100.000609,100.000028,100.000000
2013-01-03 02:30:00,15.000000,20.000000,100.000416,100.000019,100.000000
2013-01-03 03:00:00,15.000000,20.000000,100.000284,100.000012,100.000000
2013-01-03 03:30:00,15.000000,20.000000,100.000194,100.000008,100.000000
2013-01-03 04:00:00,15.000000,20.000000,100.000133,100.000006,100.000000
2013-01-03 04:30:00,15.000000,20.000000,100.000090,100.000004,100.000000
2013-01-03 05:00:00,15.000000,20.000000,100.000062,100.000002,100.000000
2013-01-03 05:30:00,15.000000,20.000000,100.000042,100.000002,100.000000
2013-01-03 06:00:00,15.000000,20.000000,100.000029,100.000001,100.000000
2013-01-03 06:30:00,15.000000,20.000000,100.000020,100.000001,100.000000
2013-01-03 07:00:00,15.000000,20.000000,100.000013,100.000000,100.000000
2013-01-03 07:30:00,15.000000,20.000000,100.000009,100.000000,100.000000
2013-01-03 08:00:00,15.000000,20.000000,100.000006,100.000000,100.000000
2013-01-03 08:30:00,15.000000,20.000000,100.000004,100.000000,100.000000
2013-01-03 09:00:00,15.000000,20.000000,100.000003,100.000000,100.000000
2013-01-03 09:30:00,15.000000,20.000000,100.000002,100.000000,100.000000
2013-01-03 10:00:00,15.000000,20.000000,100.000001,100.000000,100.000000
2013-01-03 10:30:00,15.000000,20.000000,100.000001,100.000000,100.000000
2013-01-03 11:00:00,15.000000,20.000000,100.000001,100.000000,100.000000
2013-01-03 11:30:00,15.000000,20.000000,100.000001,100.000000,100.000000
2013-01-03 12:00:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 12:30:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 13:00:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 13:30:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 14:00:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 14:30:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-03 15:00:00,15.000000,20.000000,100.000001,100.000001,100.000000
2013-01-03 15:30:00,15.000000,20.000000,100.000001,100.000001,100.000000
2013-01-03 16:00:00,15.000000,20.000000,100.000001,100.000001,100.000000
2013-01-03 16:30:00,15.000000,20.000000,100.000001,100.000001,100.000000
2013-01-03 17:00:00,15.000000,20.000000,99.999990,99.999943,100.000000
2013-01-03 17:30:00,15.000067,20.000055,99.974529,99.981900,100.000000
